Rk,School,TG,SRS,FGA,TOV,OTRB,TRB%
309,Texas Tech,33,15.97,1881,368,1115,50.9
310,Texas-Rio Grande Valley,31,-13.35,1801,434,1223,45.9
311,The Citadel,32,-6.43,1782,385,1034,51.4
312,Toledo,32,2,1926,342,1076,50.1
313,Towson,34,0.39,1934,413,1050,56
314,Troy,32,1.5,1950,441,1097,52.9
315,Tulane,31,3.96,1798,347,1222,45.7
316,Tulsa,31,-0.93,1775,403,1175,48.1
317,UAB,34,5.2,2032,392,1180,52.3
318,UC Davis,33,-0.94,1808,444,1115,49.7
319,UC Irvine,33,7.3,1962,387,1084,53.5
320,UC Riverside,34,-3.94,2122,326,1209,51
321,UC San Diego,32,2.8,1877,309,1096,50.4
322,UC Santa Barbara,31,-2.81,1684,405,993,52.1
323,UCF,32,12.79,1881,400,1106,52.1
324,UCLA,33,7.72,1820,358,1074,50.9
325,UNC Asheville,34,-1.67,1950,403,1204,49.5
326,UNC Greensboro,32,-0.1,1878,349,1083,51.1
327,UNC Wilmington,31,1.44,1871,266,1076,49.8
328,UT Arlington,34,2.39,1981,526,1143,52.7
329,Utah,33,14.98,2058,384,1198,51.8
330,Utah State,33,12.16,1912,368,1067,52.9
331,Utah Tech,31,-8.09,1724,495,1126,48.7
332,Utah Valley,32,-1.35,1851,395,1148,50.7
333,UTEP,34,-1.29,1922,500,1170,49
334,UTSA,32,-4.97,2040,360,1221,51.4
335,Valparaiso,32,-8.16,1961,353,1233,46.3
336,Vanderbilt,32,0.45,1877,333,1189,48.1
337,Vermont,34,2.91,1928,310,1145,50.9
338,Villanova,33,14.78,1894,314,1123,50.6
339,Virginia,33,10.97,1831,270,1138,48.8
340,Virginia Commonwealth,35,8.77,1892,427,1146,51.8
341,VMI,32,-20.44,1935,507,1250,48.3
342,Virginia Tech,32,11.78,1787,353,1016,50.2
343,Wagner,31,-10.87,1800,310,1083,51.1
344,Wake Forest,33,15.15,1920,358,1073,51.1
345,Washington,32,12.07,1980,374,1157,49.9
346,Washington State,33,14.28,1940,357,1043,54.4
347,Weber State,32,-0.03,1797,316,1029,49.9
348,West Virginia,32,4.24,1784,405,1147,48.5
349,Western Carolina,32,2.14,1963,330,1107,53.4
350,Western Illinois,33,-8.47,1936,436,1121,55.5
351,Western Kentucky,33,1.43,2069,452,1206,52.1
352,Western Michigan,32,-9.06,1912,428,1128,51.8
353,Wichita State,34,2.32,2091,419,1207,52.6
354,William & Mary,33,-11.14,1910,357,1192,49.3
355,Winthrop,32,-1.8,1763,415,1088,51
356,Wisconsin,35,16.8,2016,339,1076,52.5
357,Wofford,32,-3.71,1905,373,1057,53
358,Wright State,32,0,1948,379,1041,51.6
359,Wyoming,32,0.96,1755,408,1069,50.8
360,Xavier,33,12.24,2056,381,1185,51.5
361,Yale,31,4.8,1863,293,1002,53.4
362,Youngstown State,32,1.2,2064,353,1097,53.8
