Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,AdjORtg,AdjDRtg,AdjNRtg
141,Wyoming,MWC,,15,17,72.8,74.5,-1.63,,4.99,,1.33,-0.37,0.96,107.26,105.84,1.42
142,Tarleton State,WAC,,23,9,73.5,68.7,4.81,,-0.56,,-0.38,1.16,0.78,107.27,105.97,1.3
143,Ohio,MAC,,20,13,77.3,70,7.33,,-4.33,,1.51,-0.78,0.73,107.39,106.16,1.23
144,South Dakota State,Summit,,22,12,76.8,70.8,5.94,,-3.16,,1.37,-0.66,0.71,107.19,105.39,1.8
145,Morehead State,OVC,,26,8,75.5,62.8,12.68,,-6.08,,-3.49,4.18,0.69,106.04,103.69,2.35
146,Georgetown,Big East,,9,23,70.8,77.9,-7.03,,7.61,,2.6,-2.03,0.58,109.92,109.92,0
147,Murray State,MVC,,12,20,69.8,69.9,-0.16,,1.78,,-2.3,2.85,0.56,107.22,106.45,0.76
148,Arkansas State,Sun Belt,,18,16,78.7,77.1,1.59,,-1.06,,4.26,-3.73,0.53,111.16,109.88,1.28
149,Vanderbilt,SEC,,9,23,67.9,75.9,-7.97,,8.42,,-2.29,2.74,0.45,104.71,104.51,0.2
150,Towson,CAA,,20,14,67.5,63.6,3.88,,-2.07,,-7.39,7.77,0.39,101.59,100.77,0.82
151,Furman,Southern,,17,16,79.5,75.9,3.55,,-1.77,,4.16,-3.79,0.37,107.62,106.97,0.65
152,Louisville,ACC,,8,24,72,79.1,-7.06,,7.43,,2.84,-2.47,0.37,106.04,106.02,0.01
153,Hawaii,Big West,,20,14,72.3,68.7,3.56,,-2.22,,-1.97,2.26,0.29,104.44,104.36,0.08
154,Loyola Marymount,WCC,,12,19,72.4,71.4,0.97,,0.44,,-1.43,1.5,0.07,108.28,108.7,-0.42
155,Colgate,Patriot,,25,9,71.5,63.2,8.26,,-6.09,,-3.97,4.03,0.06,102.69,102.28,0.41
156,Wright State,Horizon,,18,14,86.5,81.2,5.25,,-3.4,,11.56,-11.56,0,114.47,114.99,-0.52
157,Weber State,Big Sky,,20,12,75.4,67.5,7.91,,-3.69,,-0.99,0.96,-0.03,107.59,107.63,-0.04
158,Chattanooga,Southern,,21,12,78.2,71.6,6.64,,-3.68,,1.84,-1.87,-0.04,108.32,108.11,0.21
159,UNC Greensboro,Southern,,21,11,75.7,69.8,5.91,,-2.73,,-1.51,1.41,-0.1,107.02,107.03,-0.01
160,Sam Houston,CUSA,,21,12,72.2,69.2,3,,-1.5,,-0.91,0.77,-0.14,103.47,103.22,0.25
161,Purdue Fort Wayne,Horizon,,21,12,80.9,71.4,9.52,,-6.22,,2.07,-2.26,-0.19,103.42,104.01,-0.59
162,Fordham,A-10,,13,20,70.5,72.4,-1.94,,1.65,,-0.81,0.52,-0.29,100.26,100.84,-0.58
163,Louisiana,Sun Belt,,19,14,75.9,71.7,4.21,,-2.39,,-0.36,0.04,-0.32,104.21,104.31,-0.09
164,East Carolina,AAC,,15,18,69.3,70.3,-0.97,,1.58,,-3.23,2.87,-0.35,104.37,104.84,-0.47
165,Montana,Big Sky,,23,11,77.2,71.6,5.65,,-3.67,,1.25,-1.73,-0.48,109.64,110.21,-0.57
166,Kent State,MAC,,17,17,74.8,71.3,3.53,,-2.3,,-0.05,-0.47,-0.52,105.78,106.13,-0.35
167,Eastern Washington,Big Sky,,21,11,80.8,75.2,5.59,,-2.56,,5.82,-6.4,-0.59,109.93,110.47,-0.54
168,St. Thomas,Summit,,20,13,72.8,64.8,7.94,,-5.43,,-5.32,4.69,-0.63,105.54,105.65,-0.11
169,George Washington,A-10,,15,17,76.8,77.3,-0.47,,0.15,,5.14,-5.96,-0.82,105.74,107.2,-1.46
170,Tulsa,AAC,,16,15,75,73.9,1.13,,-0.73,,1.25,-2.17,-0.93,102.32,103.23,-0.91
171,Stephen F. Austin,WAC,,18,15,74.6,71.3,3.33,,-1.75,,-0.82,-0.13,-0.94,100.47,102.19,-1.73
172,UC Davis,Big West,,20,13,71.2,68.1,3.18,,-2.46,,-3.2,2.27,-0.94,101.09,102.4,-1.32
173,Long Beach State,Big West,,21,14,77.7,75.7,2.03,,-1.59,,4.33,-5.31,-0.99,105.17,106.65,-1.49
174,Temple,AAC,,16,20,70.9,72.9,-2.03,,1.95,,-1.86,0.87,-1,101.88,103.27,-1.39
175,Massachusetts-Lowell,AEC,,22,10,80,70.7,9.38,,-5.91,,1.79,-2.9,-1.12,103.36,105.11,-1.75
176,Illinois State,MVC,,15,17,66.5,67.7,-1.16,,0.58,,-7.18,5.96,-1.23,101.39,103.47,-2.08
177,UTEP,CUSA,,18,16,72.6,69.1,3.59,,-1.1,,-3.38,2.09,-1.29,97.61,99.28,-1.67
178,Utah Valley,WAC,,16,16,68.7,68.6,0.13,,-0.05,,-4.78,3.43,-1.35,97.81,99.16,-1.35
179,Saint Louis,A-10,,13,20,74.9,79.4,-4.45,,4.33,,4.89,-6.28,-1.39,110.16,111.99,-1.83
180,La Salle,A-10,,16,17,72.7,73.1,-0.39,,1.04,,-0.15,-1.28,-1.43,104.54,106.22,-1.68
181,Illinois-Chicago,MVC,,12,21,70.3,71.5,-1.27,,1.46,,-1.91,0.46,-1.45,99.4,101.42,-2.02
182,Longwood,Big South,,21,13,75.6,67.9,7.62,,-5.58,,-2.36,0.87,-1.48,103.54,105.31,-1.77
183,Delaware,CAA,,19,14,73.2,69.7,3.55,,-4.11,,-1.8,0.32,-1.49,102.66,104.41,-1.75
184,Lipscomb,A-Sun,,20,12,82.1,76.5,5.56,,-4.72,,4.21,-5.83,-1.62,110.33,112.47,-2.14
185,UNC Asheville,Big South,,22,12,78.9,73.1,5.79,,-2.73,,0.93,-2.6,-1.67,105.47,107.87,-2.41
186,Winthrop,Big South,,17,15,77.3,71.5,5.88,,-3.24,,0.4,-2.2,-1.8,105.05,107.56,-2.51
187,Pepperdine,WCC,,13,20,72.8,74,-1.21,,0.9,,0.15,-2.09,-1.94,106.01,108.95,-2.94
188,Rhode Island,A-10,,12,20,72.6,76.3,-3.78,,3.06,,1.38,-3.45,-2.07,106.03,109,-2.96
189,California Baptist,WAC,,16,17,67.3,66.6,0.76,,-2.32,,-6.4,4.01,-2.38,102.06,105.26,-3.2
190,Stony Brook,CAA,,20,15,73.5,72.3,1.2,,-2.47,,0.34,-2.78,-2.44,104.08,107.18,-3.1
191,Fairfield,MAAC,,22,12,75.8,70.6,5.15,,-6.64,,0.94,-3.7,-2.76,106.06,109.68,-3.62
192,Quinnipiac,MAAC,,24,9,77.8,71.5,6.33,,-7.18,,2.12,-4.9,-2.78,103.45,107.1,-3.66
193,UC Santa Barbara,Big West,,16,15,75.4,73.5,1.84,,-2.64,,-0.26,-2.55,-2.81,104.9,109,-4.1
194,Fresno State,MWC,,12,21,67.7,73.9,-6.24,,3.95,,-3.19,0.35,-2.84,103.26,107.73,-4.47
195,Bryant,AEC,,20,13,78.7,75.4,3.33,,-3.35,,1.92,-4.78,-2.86,97.93,101.87,-3.94
196,Cleveland State,Horizon,,20,14,76.2,72.9,3.29,,-4.45,,0.11,-3.02,-2.91,105.28,109.42,-4.14
197,East Tennessee State,Southern,,19,16,71.5,69.6,1.91,,-2.57,,-4.11,1.17,-2.94,100.81,104.86,-4.06
198,Rice,AAC,,11,21,72,75.7,-3.66,,2.26,,-1.32,-1.62,-2.94,105.11,109.25,-4.13
199,Little Rock,OVC,,21,12,77.4,72.2,5.18,,-8.14,,1.4,-4.36,-2.96,105.16,108.81,-3.65
200,Monmouth,CAA,,18,15,72.4,72.6,-0.18,,-2.82,,-1.36,-1.64,-3,103.79,108.26,-4.48
201,Pennsylvania,Ivy,,11,18,74.4,74.4,0.07,,0.53,,-0.05,-3.02,-3.07,106.65,111.21,-4.56
202,Jacksonville State,CUSA,,14,18,70,66.4,3.56,,-2.89,,-7.04,3.74,-3.3,100.15,104.5,-4.35
203,San Jose State,MWC,,9,23,69.6,75.1,-5.47,,3.73,,-2.41,-0.95,-3.37,104.39,109.69,-5.29
204,Brown,Ivy,,13,18,71.4,71.8,-0.48,,-1.52,,-1.98,-1.4,-3.38,102.04,107.04,-5
205,Evansville,MVC,,16,17,71.5,73.6,-2.06,,0.93,,-1.61,-1.78,-3.39,101.38,106.14,-4.75
206,Northern Kentucky,Horizon,,18,15,74.8,73.2,1.64,,-3.46,,-1.69,-1.71,-3.4,101.03,106.03,-5
207,Texas State,Sun Belt,,17,18,69.9,70.1,-0.2,,-0.43,,-6.2,2.8,-3.4,97.9,102.51,-4.61
208,Texas A&M-Corpus Christi,Southland,,21,11,75.5,66.5,9.06,,-6.92,,-4.35,0.68,-3.67,98.33,102.36,-4.03
209,Wofford,Southern,,17,15,74.5,73.8,0.69,,-1.44,,-1.15,-2.57,-3.71,106.2,111.6,-5.4
210,Abilene Christian,WAC,,15,17,72.5,73.5,-0.97,,-1.18,,-2.35,-1.47,-3.82,100.27,105.34,-5.07
211,UC Riverside,Big West,,16,18,70.7,72,-1.29,,-0.91,,-2.8,-1.14,-3.94,101.98,107.63,-5.66
212,Northern Colorado,Big Sky,,19,13,80.3,77.8,2.41,,-4.9,,5.4,-9.4,-4,107.04,112.4,-5.36
213,Saint Peter's,MAAC,,19,13,65.3,63.4,1.91,,-6,,-10.1,5.98,-4.13,96.13,101.73,-5.61
214,Georgia State,Sun Belt,,14,17,76.5,74.8,1.65,,-2.26,,-0.55,-3.71,-4.26,103.33,109.33,-6.01
215,Air Force,MWC,,9,22,66.2,72.4,-6.19,,1.86,,-6.48,2.14,-4.34,104.93,112.76,-7.82
216,Harvard,Ivy,,14,13,70.4,71.7,-1.37,,-1.86,,-3.18,-1.18,-4.36,99.99,106.1,-6.11
217,Gardner-Webb,Big South,,17,16,73.5,73.2,0.36,,-1.49,,-1.61,-2.81,-4.42,99.89,105.64,-5.76
218,Cal State Northridge,Big West,,19,15,75,73.6,1.41,,-3.8,,0.26,-4.72,-4.45,97.82,104.21,-6.39
219,Mercer,Southern,,16,17,71.2,71.8,-0.7,,-2.41,,-4.5,-0.01,-4.51,101.11,107.73,-6.63
220,Stetson,A-Sun,,22,12,77.5,72.8,4.71,,-3.87,,-0.32,-4.19,-4.51,108.13,114.69,-6.56
221,Montana State,Big Sky,,17,17,75.1,74.1,1.06,,-3.9,,-1.34,-3.24,-4.58,101.69,107.98,-6.29
222,Cal State Fullerton,Big West,,14,18,67.9,69.1,-1.25,,-0.75,,-6.15,1.4,-4.75,98.88,105.31,-6.43
223,Milwaukee,Horizon,,20,15,79.5,78.7,0.83,,-4.23,,4.04,-8.82,-4.78,105.36,112.38,-7.02
