Team,kaggle_id,seed,SoS,Off Rebound Rate,TOV/Pace,AdjEM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Team,AdjEM,,Jacksonville,-4.9,,SIU Edwardsville,375,800,1175,352,67.7,6.011816839,321,,321,829,1150,407,67.7
,,,,,,,,Oral Roberts,-8.64,,Siena,-4.9,,Southern Indiana,319,820,1139,423,69.7,5.509325681,319,,319,835,1154,384,69.7
,,,,,,,,Middle Tennessee,-8.79,,Chicago State,-5,,Southern Methodist,468,815,1283,362,68.5,6.102189781,368,,368,742,1110,418,68.5
,,,,,,,,Binghamton,-8.85,,Charl South,-5,,Southern Mississippi,343,834,1177,411,69.5,5.64028777,349,,349,823,1172,392,69.5
,,,,,,,,FIU,-9.06,,Rob Morris,-5,,Southern Utah,322,727,1049,373,71.4,5.434173669,349,,349,809,1158,388,71.4
,,,,,,,,Utah Tech,-9.28,,NJIT,-5,,St. Bonaventure,320,767,1087,358,66,6.454545455,304,,304,756,1060,426,66
,,,,,,,,SIU Edwardsville,-9.51,,Marist,-5.1,,St. John's (NY),476,803,1279,360,69.6,6.120689655,350,,350,756,1106,426,69.6
,,,,,,,,Old Dominion,-9.71,,Lehigh,-5.2,,St. Thomas,255,772,1027,303,63.9,6.181533646,257,,257,768,1025,395,63.9
,,,,,,,,USC Upstate,-9.86,,Ball State,-5.3,,Stanford,248,849,1097,410,70.9,5.049365303,319,,319,821,1140,358,70.9
,,,,,,,,Tennessee St.,-9.86,,Nicholls,-5.3,,Stephen F. Austin,393,791,1184,530,71.5,7.874125874,336,,336,749,1085,563,71.5
,,,,,,,,New Mexico St.,-9.9,,Manhattan,-5.4,,Stetson,329,857,1186,355,67.4,4.836795252,376,,376,793,1169,326,67.4
,,,,,,,,Delaware St.,-10.04,,Niagara,-5.4,,Stonehill,257,763,1020,421,69.2,5.303468208,346,,346,864,1210,367,69.2
,,,,,,,,Sacred Heart,-10.04,,Lafayette,-5.5,,Stony Brook,336,944,1280,359,67.5,5.481481481,384,,384,915,1299,370,67.5
,,,,,,,,Wagner,-10.09,,Denver,-5.7,,Syracuse,277,787,1064,364,72.1,6.421636616,360,,360,843,1203,463,72.1
,,,,,,,,American,-10.25,,Wm & Mary,-5.7,,Tarleton State,348,732,1080,366,68.1,6.769456681,359,,359,756,1115,461,68.1
,,,,,,,,Boston University,-10.31,,North Dakota,-5.7,,TCU,412,810,1222,424,70.6,6.968838527,324,,324,749,1073,492,70.6
,,,,,,,,Louisiana Monroe,-10.5,,Idaho,-5.7,,Temple,406,898,1304,357,68,6.323529412,374,,374,1026,1400,430,68
,,,,,,,,Alcorn St.,-10.61,,Neb Omaha,-5.8,,Tennessee,374,868,1242,329,70.6,6.04815864,347,,347,780,1127,427,70.6
,,,,,,,,Valparaiso,-10.76,,Presbyterian,-5.9,,Tennessee State,327,817,1144,436,69.8,6.346704871,372,,372,801,1173,443,69.8
,,,,,,,,Portland,-10.77,,Pacific,-5.9,,Tennessee Tech,191,766,957,369,67.6,4.778106509,288,,288,825,1113,323,67.6
,,,,,,,,Le Moyne,-10.91,,Alcorn State,-6.1,,Tennessee-Martin,325,994,1319,366,74.5,4.563758389,346,,346,874,1220,340,74.5
,,,,,,,,South Carolina St.,-10.94,,Jackson State,-6.1,,Texas,324,782,1106,364,68.2,5.967741935,335,,335,739,1074,407,68.2
,,,,,,,,Chicago St.,-11.06,,Elon,-6.1,,Texas A&M,587,865,1452,327,67.5,5.762962963,337,,337,812,1149,389,67.5
,,,,,,,,Southeastern Louisiana,-11.11,,E Michigan,-6.2,,Texas A&M-Commerce,316,759,1075,385,68.7,6.506550218,361,,361,920,1281,447,68.7
,,,,,,,,Western Michigan,-11.29,,AR Lit Rock,-6.3,,Texas A&M-Corpus Christi,418,866,1284,390,71.2,6.741573034,272,,272,799,1071,480,71.2
,,,,,,,,Northern Illinois,-11.52,,TN Martin,-6.4,,Texas Southern,356,776,1132,405,69.5,5.884892086,347,,347,814,1161,409,69.5
,,,,,,,,Robert Morris,-11.58,,South Dakota,-6.4,,Texas State,388,855,1243,470,68.4,6.622807018,354,,354,828,1182,453,68.4
,,,,,,,,DePaul,-11.67,,Central Ark,-6.4,,Texas Tech,326,829,1155,368,67.2,5.639880952,361,,361,754,1115,379,67.2
,,,,,,,,Bethune Cookman,-11.82,,Boston U,-6.5,,Texas-Rio Grande Valley,290,747,1037,434,73.5,6.095238095,350,,350,873,1223,448,73.5
,,,,,,,,Jackson St.,-12.09,,Howard,-6.6,,The Citadel,300,794,1094,385,67,5.28358209,281,,281,753,1034,354,67
,,,,,,,,Northern Arizona,-12.16,,Campbell,-6.6,,Toledo,318,763,1081,342,70.2,5.954415954,307,,307,769,1076,418,70.2
,,,,,,,,Campbell,-12.27,,Loyola-MD,-6.6,,Towson,491,846,1337,413,63.2,5.933544304,311,,311,739,1050,375,63.2
,,,,,,,,Sacramento St.,-12.55,,TX A&M-CC,-6.7,,Troy,427,803,1230,441,71.2,6.966292135,338,,338,759,1097,496,71.2
,,,,,,,,Coastal Carolina,-12.66,,TX Southern,-6.7,,Tulane,217,813,1030,347,73.4,5.463215259,388,,388,834,1222,401,73.4
,,,,,,,,Alabama St.,-12.73,,LIU,-6.7,,Tulsa,270,821,1091,403,71.4,5.630252101,357,,357,818,1175,402,71.4
,,,,,,,,Bellarmine,-12.85,,Lamar,-6.7,,UAB,437,859,1296,392,68.8,5.668604651,383,,383,797,1180,390,68.8
,,,,,,,,Charleston Southern,-13.03,,Coppin State,-6.8,,UC Davis,327,775,1102,444,68.1,7.063142438,338,,338,777,1115,481,68.1
,,,,,,,,Elon,-13.25,,Norfolk State,-6.8,,UC Irvine,345,902,1247,387,69.7,5.882352941,338,,338,746,1084,410,69.7
,,,,,,,,Lafayette,-13.31,,Merrimack,-6.8,,UC Riverside,420,836,1256,326,67.7,5.568685377,279,,279,930,1209,377,67.7
,,,,,,,,William & Mary,-13.51,,American,-6.9,,UC San Diego,305,808,1113,309,67,5.567164179,306,,306,790,1096,373,67
,,,,,,,,Eastern Illinois,-13.58,,Hampton,-6.9,,UC Santa Barbara,252,829,1081,405,69,4.492753623,292,,292,701,993,310,69
,,,,,,,,,,,S Car Stateate,-7,,UCF,394,811,1205,400,69.2,6.531791908,304,,304,802,1106,452,69.2
,,,,,,,,Team,AdjEM,,SIU Edward,-7.1,,UCLA,339,776,1115,358,64.8,5.987654321,299,,299,775,1074,388,64.8
,,,,,,,,Idaho,-13.66,,Southern,-7.1,,UNC Asheville,319,863,1182,403,70.3,6.173541963,387,,387,817,1204,434,70.3
,,,,,,,,South Dakota,-13.82,,Alab A&M,-7.2,,UNC Greensboro,319,814,1133,349,66.9,5.545590433,330,,330,753,1083,371,66.9
,,,,,,,,Navy,-14.12,,SE Louisiana,-7.4,,UNC Wilmington,330,736,1066,266,66.6,5.750750751,321,,321,755,1076,383,66.6
,,,,,,,,Northwestern St.,-14.49,,Holy Cross,-7.4,,UT Arlington,404,871,1275,526,71.9,6.467315716,358,,358,785,1143,465,71.9
,,,,,,,,Eastern Michigan,-15.01,,Grambling State,-7.4,,Utah,340,947,1287,384,70.7,4.823196605,337,,337,861,1198,341,70.7
,,,,,,,,Fairleigh Dickinson,-15.29,,Delaware State,-7.5,,Utah State,320,878,1198,368,69.1,5.701881331,296,,296,771,1067,394,69.1
,,,,,,,,Alabama A&M,-15.45,,NW Stateate,-7.6,,Utah Tech,307,763,1070,495,71.9,5.78581363,351,,351,775,1126,416,71.9
,,,,,,,,Southern Indiana,-15.79,,Navy,-7.6,,Utah Valley,335,844,1179,395,69.2,5.910404624,308,,308,840,1148,409,69.2
,,,,,,,,Texas A&M Commerce,-16.31,,VMI,-7.6,,UTEP,361,763,1124,500,71.4,8.907563025,336,,336,834,1170,636,71.4
,,,,,,,,UT Rio Grande Valley,-16.43,,TN Stateate,-7.7,,UTSA,419,870,1289,360,71.3,4.249649369,348,,348,873,1221,303,71.3
,,,,,,,,Tennessee Tech,-16.59,,W Illinois,-7.7,,Valparaiso,320,744,1064,353,69.3,5.714285714,322,,322,911,1233,396,69.3
,,,,,,,,Morgan St.,-16.83,,Wagner,-7.8,,Vanderbilt,344,758,1102,333,67.8,5.1179941,314,,314,875,1189,347,67.8
